frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
0,0.0000,-44.8144,0.6956,-0.0043,-13.9496,13.2755,-179.2062,134.9577,-16.6982,19.3412,94.2143,34.3583
1,0.0333,-43.5359,0.7159,-0.0045,-12.6370,11.9772,-151.6239,173.6927,-8.6021,25.0083,114.2823,52.8029
2,0.0667,-44.1439,0.7087,-0.0048,-11.9888,12.4782,-218.6413,105.5542,-9.0931,21.2220,98.0651,50.1273
3,0.1000,-40.9262,0.7490,-0.0047,-9.5720,12.0227,-178.9838,172.2771,-6.6089,21.7186,88.2244,33.0903
4,0.1333,-40.8749,0.7472,-0.0047,-9.7530,11.4863,-203.4050,134.5722,-6.6894,20.7309,96.3320,37.0033
5,0.1667,-36.4261,0.7981,-0.0045,-4.4308,14.4541,102.6395,35.8787,-3.8745,22.1164,-44.8144,130.3472
6,0.2000,-36.3044,0.7956,-0.0045,-5.2640,14.5987,119.1768,61.5421,-4.3590,20.3209,71.4775,21.2229
7,0.2333,-36.4358,0.7997,-0.0045,-3.8674,17.1699,111.5267,42.4352,-4.0692,20.6692,-0.2286,60.6748
8,0.2667,-35.4797,0.8093,-0.0044,-2.3768,17.5898,109.7022,37.1216,-2.6967,22.5588,-29.8739,115.7175
9,0.3000,-35.8719,0.8061,-0.0044,-2.8953,16.7040,112.1513,40.9613,-3.6237,20.6644,-13.8782,80.6239
10,0.3333,-34.9880,0.8148,-0.0044,-2.0026,15.5881,138.8905,115.1948,-1.9955,19.4755,78.2025,15.0062
11,0.3667,-35.8183,0.8080,-0.0040,-0.9873,18.7150,110.5006,42.5869,-2.9255,19.2554,-2.5515,89.4742
12,0.4000,-41.2214,0.7449,-0.0042,-8.1805,13.4069,138.4526,107.7193,-6.9425,21.5070,1.8658,63.6812
13,0.4333,-43.2543,0.7223,-0.0042,-11.7266,11.8692,-222.9191,94.9561,-8.8535,22.4426,27.9126,42.6495
