frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
54,1.800,165.802,282.752,58.369,128.581,9.717,261.473,79.636,51.745,91.461
56,1.867,0.261,2.950,53.580,-24.014,117.962,0.905,35.235,-39.178,84.393
57,1.900,4.569,14.775,52.125,-1.167,21.394,32.384,65.801,-4.201,13.194
58,1.933,2.684,25.309,83.946,12.051,2.622,36.181,88.915,-20.490,80.791
59,1.967,8.312,26.296,75.459,27.876,7.041,38.611,79.921,-3.836,83.232
60,2.000,4.605,22.301,70.967,17.705,12.966,32.830,76.156,-8.772,69.460
61,2.033,13.850,27.612,75.263,32.795,13.975,37.499,76.389,5.889,11.114
62,2.067,10.036,23.170,69.679,24.055,12.189,31.837,76.519,-2.640,9.862
63,2.100,13.528,26.840,68.907,31.322,10.922,37.326,74.622,5.196,1.575
64,2.133,-2.045,9.704,60.357,12.887,16.380,18.024,67.758,-20.736,46.466
65,2.167,-0.911,15.880,67.506,14.051,12.013,20.409,75.008,-12.038,38.722
66,2.200,4.103,21.176,70.399,26.464,18.373,26.850,81.946,-1.444,32.235
67,2.233,2.335,18.172,66.340,27.477,10.684,23.279,72.821,-23.696,86.586
68,2.267,-4.877,10.956,64.575,12.028,13.415,16.802,74.445,-21.075,57.808
69,2.300,1.280,16.559,66.747,17.451,10.436,22.214,73.248,-8.027,10.199
70,2.333,-2.197,11.994,63.487,13.948,11.834,18.713,66.460,-25.854,83.992
71,2.367,1.679,14.275,58.853,8.913,24.734,18.924,63.798,-19.339,80.942
72,2.400,-4.694,9.613,60.226,17.048,6.071,18.218,74.326,-36.140,91.069
73,2.433,-6.458,7.508,57.692,-25.266,132.356,14.287,72.471,-37.324,88.066
74,2.467,3.262,16.393,56.539,17.465,3.329,26.241,72.461,-3.342,15.262
75,2.500,10.720,23.023,55.651,28.190,14.052,33.360,58.554,2.954,2.018
76,2.533,7.689,19.808,49.181,20.402,1.899,27.161,56.023,-5.791,11.808
77,2.567,8.789,21.824,47.976,29.821,70.089,24.796,51.733,0.989,6.475
78,2.600,6.924,15.571,42.668,25.751,106.354,13.937,44.034,0.190,1.872
79,2.633,0.362,10.249,45.723,26.279,4.555,8.205,49.709,-19.171,92.338
80,2.667,-0.700,11.523,51.277,21.333,6.374,11.559,50.360,-20.604,75.687
81,2.700,9.989,22.139,51.676,37.978,2.658,23.164,53.227,-19.669,80.184
82,2.733,7.842,16.498,43.773,37.843,6.934,14.730,41.139,-14.634,86.543
83,2.767,0.933,10.334,38.888,10.793,156.284,8.697,37.304,-19.181,96.222
84,2.800,-2.511,10.015,51.770,12.125,33.434,12.185,49.520,-18.821,23.891
85,2.833,-12.633,-0.252,51.887,-8.990,27.275,5.962,54.601,-36.585,88.341
86,2.867,-8.446,4.385,64.304,-15.185,121.420,9.011,53.695,-26.804,45.337
87,2.900,-6.867,5.362,61.370,-10.800,152.475,10.233,53.457,-24.084,43.849
88,2.933,-4.626,11.828,56.157,17.656,113.099,18.562,53.421,-20.612,13.913
89,2.967,-3.968,12.872,57.812,9.468,141.115,19.284,54.079,-17.471,6.010
90,3.000,-0.183,18.004,62.473,3.895,17.569,23.287,54.499,-10.082,1.453
91,3.033,-0.412,17.927,64.140,2.487,25.788,23.393,58.847,-10.640,2.937
92,3.067,5.755,24.871,71.488,7.513,24.612,30.182,65.632,-4.291,0.340
93,3.100,5.699,22.674,73.808,9.801,17.715,28.786,69.701,-9.831,13.893
94,3.133,-4.666,17.502,76.392,-13.290,29.756,16.578,54.195,-16.663,1.299
95,3.167,-8.905,13.228,70.983,-24.060,25.862,12.115,43.099,-20.148,0.370
96,3.200,-3.669,17.487,87.884,-19.269,16.052,19.804,53.652,-14.879,0.154
97,3.233,-2.168,18.210,80.017,-14.869,11.317,19.979,48.063,-15.477,1.057
98,3.267,0.058,19.596,69.559,-10.590,10.687,20.118,43.643,-13.946,1.278
99,3.300,1.464,16.382,58.373,-9.463,11.521,22.751,41.848,-12.734,0.183
100,3.333,1.765,19.453,68.010,-6.883,6.331,24.783,49.436,-12.848,0.273
101,3.367,3.392,22.202,71.755,157.326,2.274,26.157,55.059,-12.091,8.774
102,3.400,10.233,22.821,63.902,13.526,3.693,29.447,51.467,-2.674,4.831
103,3.433,28.649,38.754,57.271,49.173,0.665,40.170,47.658,23.236,3.820
104,3.467,24.541,66.299,75.560,52.001,3.675,80.539,102.935,24.718,16.327
105,3.500,-3.256,36.467,94.484,18.638,4.494,76.625,117.625,-13.389,7.401
106,3.533,2.021,31.538,93.997,25.962,0.759,80.580,114.191,-4.978,6.639
107,3.567,0.142,22.961,89.685,19.586,4.617,79.733,118.103,-7.715,7.145
108,3.600,3.996,24.486,87.413,33.618,5.421,80.180,117.756,-5.414,10.590
109,3.633,3.155,23.118,89.576,26.521,5.980,82.805,118.045,-5.132,9.489
110,3.667,1.805,21.210,88.507,17.752,6.343,85.386,122.037,-5.871,9.809
111,3.700,2.870,21.875,86.844,16.981,8.416,84.918,124.301,-6.017,5.921
112,3.733,3.867,20.314,80.658,16.470,6.856,73.546,132.611,-1.522,8.717
113,3.767,1.307,16.646,81.604,5.469,7.280,75.408,134.186,-5.578,8.389
114,3.800,4.927,22.922,81.612,16.183,14.762,78.893,129.136,-2.531,7.592
115,3.833,4.378,15.726,70.578,5.300,14.795,41.163,73.459,-5.463,12.130
116,3.867,7.965,25.268,81.926,19.842,13.766,36.070,70.873,-3.288,6.839
117,3.900,15.840,35.178,86.618,42.382,11.472,45.469,80.453,6.740,6.902
118,3.933,15.048,34.301,76.068,43.190,10.233,36.815,70.379,7.586,9.636
119,3.967,8.079,33.941,76.925,17.181,8.781,43.694,83.230,-3.657,3.729
120,4.000,7.574,33.509,75.553,16.570,9.335,40.723,79.775,-2.499,7.566
121,4.033,0.783,21.817,62.993,9.161,12.969,24.509,65.430,-14.977,65.872
122,4.067,7.391,30.871,73.172,18.212,18.709,35.176,72.042,2.828,22.926
123,4.100,9.935,34.383,76.178,20.793,14.402,35.243,76.359,5.515,15.995
124,4.133,8.117,30.304,78.239,18.664,18.851,32.888,72.599,4.049,14.376
125,4.167,-2.861,19.643,82.909,8.696,8.070,52.976,104.279,-9.919,16.849
126,4.200,-2.112,19.720,95.260,-1.273,9.735,29.220,74.414,-8.111,20.304
127,4.233,1.657,22.461,89.072,7.192,11.733,25.542,65.535,-1.870,19.647
128,4.267,2.931,22.852,84.083,10.997,13.215,23.071,64.534,-3.215,15.942
129,4.300,2.580,22.640,82.966,12.215,17.698,24.121,57.599,-5.192,14.399
130,4.333,0.464,20.094,80.372,8.425,18.928,21.160,62.967,-6.902,14.503
131,4.367,-5.516,10.976,73.061,-1.852,157.019,12.948,59.364,-13.548,9.443
132,4.400,-5.033,7.986,66.733,-18.197,124.278,11.273,54.691,-26.581,99.422
133,4.433,-6.161,12.551,74.057,0.551,7.483,15.286,66.311,-19.992,9.699
134,4.467,-6.731,11.217,74.307,2.564,9.794,17.264,68.685,-19.134,5.002
135,4.500,-7.287,9.366,72.157,1.503,178.334,18.569,65.494,-20.020,2.247
136,4.533,-7.770,7.688,71.666,2.896,6.031,27.103,93.055,-16.199,4.483
137,4.567,-5.363,9.136,73.424,11.013,19.739,35.736,106.452,-12.610,6.583
