link,mesh,estimated_mass_kg,cad_mass_kg
pelvis,hip.stl,1.6502,
waist_yaw_link,waist_yaw.stl,0.1108,
waist_roll_link,waist_pitch.stl,0.0284,
torso,waist_should_head.stl,5.1562,
l_shoulder_pitch_link,ARM_L/arm_l_link_1.stl,0.4382,
l_shoulder_roll_link,ARM_L/arm_l_link_2.stl,0.4578,
l_shoulder_yaw_link,ARM_L/arm_l_link_3.stl,0.4871,
l_elbow_link,ARM_L/arm_l_link_4.stl,0.1871,
r_shoulder_pitch_link,ARM_R/arm_r_link_1.stl,0.4381,
r_shoulder_roll_link,ARM_R/arm_r_link_2.stl,0.4578,
r_shoulder_yaw_link,ARM_R/arm_r_link_3.stl,0.4871,
r_elbow_link,ARM_R/arm_r_link_4.stl,0.1871,
l_hip_pitch_link,UPPER_LEG_L/05_urdf_thigh_joint_l.stl,0.5906,
l_thigh_link,UPPER_LEG_L/05_urdf_thigh_knee_l.stl,0.9136,
l_shin_link,LOWER_LEG/LOWER_LEG_L_W/lower_leg_l_w_link_1_1.stl,1.1424,
l_wheel_link,LOWER_LEG/LOWER_LEG_L_W/lower_leg_l_w_link_2.stl,1.3349,
r_hip_pitch_link,UPPER_LEG_R/05_urdf_thigh_joint_r.stl,0.5860,
r_thigh_link,UPPER_LEG_R/05_urdf_thigh_knee_r.stl,0.9189,
r_shin_link,LOWER_LEG/LOWER_LEG_R_W/lower_leg_r_w_link_1_1.stl,1.1424,
r_wheel_link,LOWER_LEG/LOWER_LEG_R_W/lower_leg_r_w_link_2.stl,1.3349,
l_knee_roller_link,LOWER_LEG/LOWER_LEG_L_W/lower_leg_l_w_link_1_2.stl,0.1714,
r_knee_roller_link,LOWER_LEG/LOWER_LEG_R_W/lower_leg_r_w_link_1_2.stl,0.1714,
